Company Name,Market Cap (crores),Share Price (rupees),Golden Cross Date
GUJARAT STATE PETRO LTD,17795.227648,311.85,2025-07-28
GUJARAT STATE PETRO LTD,17795.227648,311.85,2025-10-21
GODREJ AGROVET LIMITED,12925.4694912,672.05,2025-08-12
ELECON ENG. CO. LTD,12425.0251264,553.7,2025-08-29
ELECON ENG. CO. LTD,12425.0251264,553.7,2025-09-30
UNITED BREWERIES LTD,47537.4026752,1797.9,2025-08-01
POWER GRID CORP. LTD.,269391.9932416,288.6,2025-07-25
POWER GRID CORP. LTD.,269391.9932416,288.6,2025-09-30
GAIL (INDIA) LTD,117292.8462848,178.39,2025-09-11
GAIL (INDIA) LTD,117292.8462848,178.39,2025-09-29
ADIT BIRL SUN LIF AMC LTD,25117.360128,870.05,2025-08-08
ADIT BIRL SUN LIF AMC LTD,25117.360128,870.05,2025-09-01
HEG LTD,9902.6427904,513.15,2025-08-08
HEG LTD,9902.6427904,513.15,2025-10-07
HEG LTD,9902.6427904,513.15,2025-10-20
ASAHI INDIA GLASS LIMITED,23981.0019328,938.9,2025-08-01
ASAHI INDIA GLASS LIMITED,23981.0019328,938.9,2025-09-05
ASAHI INDIA GLASS LIMITED,23981.0019328,938.9,2025-10-07
VARDHMAN TEXTILES LIMITED,11807.7046784,408.25,2025-07-23
VARDHMAN TEXTILES LIMITED,11807.7046784,408.25,2025-09-09
VARDHMAN TEXTILES LIMITED,11807.7046784,408.25,2025-09-29
PETRONET LNG LIMITED,41790.0036096,278.6,2025-07-29
PETRONET LNG LIMITED,41790.0036096,278.6,2025-09-10
PETRONET LNG LIMITED,41790.0036096,278.6,2025-09-26
ALKEM LABORATORIES LTD.,66735.2039424,5547.5,2025-08-07
ALKEM LABORATORIES LTD.,66735.2039424,5547.5,2025-09-10
ALKEM LABORATORIES LTD.,66735.2039424,5547.5,2025-10-07
ASTRAZENECA PHARMA IND LT,23266.2499328,9306.5,2025-07-25
ASTRAZENECA PHARMA IND LT,23266.2499328,9306.5,2025-09-26
CEAT LIMITED,17326.1389824,4289.7,2025-07-24
REDINGTON LIMITED,21037.5491584,268.5,2025-07-25
REDINGTON LIMITED,21037.5491584,268.5,2025-10-13
COLGATE PALMOLIVE LTD.,62441.1017216,2260.6,2025-09-19
ICICI LOMBARD GIC LIMITED,99841.3500416,2007.0,2025-08-29
ICICI LOMBARD GIC LIMITED,99841.3500416,2007.0,2025-10-13
TRENT LTD,171007.2397824,4791.1,2025-09-02
TRENT LTD,171007.2397824,4791.1,2025-09-10
ENDURANCE TECHNO. LTD.,41477.2527104,2948.7,2025-09-19
TATA ELXSI LIMITED,33447.6967936,5354.5,2025-07-25
TATA ELXSI LIMITED,33447.6967936,5354.5,2025-09-29
RAMKRISHNA FORGINGS LTD,9974.1556736,551.7,2025-09-22
GE VERNOVA T&D INDIA LTD,75779.5323904,2959.6,2025-08-28
GE VERNOVA T&D INDIA LTD,75779.5323904,2959.6,2025-10-16
CENTRAL DEPO SER (I) LTD,33676.1683968,1604.0,2025-08-29
CENTRAL DEPO SER (I) LTD,33676.1683968,1604.0,2025-09-29
TIMKEN INDIA LTD.,22279.036928,2961.9,2025-08-01
TIMKEN INDIA LTD.,22279.036928,2961.9,2025-09-04
TIMKEN INDIA LTD.,22279.036928,2961.9,2025-10-08
PAGE INDUSTRIES LTD,46383.3858048,41585.0,2025-09-04
GRANULES INDIA LIMITED,13833.330688,570.05,2025-07-25
GRANULES INDIA LIMITED,13833.330688,570.05,2025-09-30
NMDC LTD.,66474.9277184,75.61,2025-08-14
NMDC LTD.,66474.9277184,75.61,2025-08-29
NMDC LTD.,66474.9277184,75.61,2025-10-07
NMDC LTD.,66474.9277184,75.61,2025-10-20
CLEAN SCIENCE & TECH LTD,11191.6924928,1053.1,2025-09-24
PNB HOUSING FIN LTD.,22810.1292032,875.6,2025-07-23
PNB HOUSING FIN LTD.,22810.1292032,875.6,2025-10-15
SUNDRAM FASTENERS LTD,20707.1002624,981.45,2025-07-22
SUNDRAM FASTENERS LTD,20707.1002624,981.45,2025-09-29
TUBE INVEST OF INDIA LTD,60671.26272,3129.9,2025-09-04
TUBE INVEST OF INDIA LTD,60671.26272,3129.9,2025-10-01
PUNJAB NATIONAL BANK,135237.4550528,117.67,2025-07-25
PUNJAB NATIONAL BANK,135237.4550528,117.67,2025-08-28
CHAMBAL FERTILIZERS LTD,19577.8740224,488.65,2025-08-18
CHAMBAL FERTILIZERS LTD,19577.8740224,488.65,2025-09-12
DEVYANI INTERNATIONAL LTD,20623.8629888,167.41,2025-07-30
DEVYANI INTERNATIONAL LTD,20623.8629888,167.41,2025-09-23
STRLNG & WIL REN ENE LTD,5381.971968,230.46,2025-07-24
CITY UNION BANK LTD,16758.0778496,226.14,2025-07-23
CITY UNION BANK LTD,16758.0778496,226.14,2025-08-26
JUBILANT PHARMOVA LTD,18115.8346752,1143.7,2025-07-29
JUBILANT PHARMOVA LTD,18115.8346752,1143.7,2025-09-26
ZF COM VE CTR SYS IND LTD,24817.1872256,13084.0,2025-09-05
ZF COM VE CTR SYS IND LTD,24817.1872256,13084.0,2025-10-20
SRF LTD,93948.8837632,3148.0,2025-09-26
HINDUSTAN UNILEVER LTD.,612009.771008,2591.7,2025-09-15
DEEPAK NITRITE LTD,24150.433792,1770.6,2025-10-13
JSW ENERGY LIMITED,94384.9406464,528.1,2025-08-01
JSW ENERGY LIMITED,94384.9406464,528.1,2025-08-25
KIRLOSKAR BROTHERS LTD,15666.1907456,1970.5,2025-09-29
THE INDIA CEMENTS LIMITED,12140.1769984,390.75,2025-09-25
CARBORUNDUM UNIVERSAL LTD,17327.2727552,909.85,2025-07-25
CARBORUNDUM UNIVERSAL LTD,17327.2727552,909.85,2025-09-26
MRPL,26369.6023552,150.46,2025-07-28
ECLERX SERVICES LTD,20833.7813504,4439.8,2025-09-23
KPR MILL LTD.,35447.8227456,1023.4,2025-08-01
KPR MILL LTD.,35447.8227456,1023.4,2025-10-07
JYOTHY LABS LIMITED,11774.7326976,320.65,2025-07-23
JYOTHY LABS LIMITED,11774.7326976,320.65,2025-09-09
METROPOLIS HEALTHCARE LTD,10065.3842432,1930.0,2025-09-12
VOLTAS LTD,48170.2019072,1455.8,2025-07-28
VOLTAS LTD,48170.2019072,1455.8,2025-09-24
EICHER MOTORS LTD,193160.282112,7018.5,2025-10-13
INDIAMART INTERMESH LTD,14264.2069504,2376.7,2025-07-25
INDIAMART INTERMESH LTD,14264.2069504,2376.7,2025-09-05
BHARTI AIRTEL LIMITED,1206462.5000448,2043.5,2025-08-08
BHARTI AIRTEL LIMITED,1206462.5000448,2043.5,2025-09-03
BHARTI AIRTEL LIMITED,1206462.5000448,2043.5,2025-10-01
FACT LTD,57815.8854144,893.5,2025-08-04
FACT LTD,57815.8854144,893.5,2025-09-04
FACT LTD,57815.8854144,893.5,2025-09-26
OIL INDIA LTD,66520.1278976,406.6,2025-07-30
OIL INDIA LTD,66520.1278976,406.6,2025-10-21
MARICO LIMITED,95143.5001856,722.05,2025-07-24
MARICO LIMITED,95143.5001856,722.05,2025-09-17
FEDERAL BANK LTD,55906.238464,227.44,2025-09-29
GUJARAT PIPAVAV PORT LTD,7794.9853696,161.24,2025-08-04
TEJAS NETWORKS LIMITED,10388.9444864,548.65,2025-09-15
TEJAS NETWORKS LIMITED,10388.9444864,548.65,2025-09-29
THE RAMCO CEMENTS LIMITED,24548.4158976,1038.9,2025-08-08
CANARA BANK,115306.1224448,127.12,2025-07-23
CANARA BANK,115306.1224448,127.12,2025-08-29
DABUR INDIA LTD,90209.8845696,506.4,2025-08-12
DABUR INDIA LTD,90209.8845696,506.4,2025-09-23
CCL PRODUCTS (I) LTD,11303.8516224,848.65,2025-07-24
CCL PRODUCTS (I) LTD,11303.8516224,848.65,2025-08-14
CCL PRODUCTS (I) LTD,11303.8516224,848.65,2025-09-02
CCL PRODUCTS (I) LTD,11303.8516224,848.65,2025-09-19
CCL PRODUCTS (I) LTD,11303.8516224,848.65,2025-09-25
JUSTDIAL LTD.,6755.5221504,794.35,2025-09-26
ALEMBIC PHARMA LTD,18427.7925888,932.8,2025-07-31
ALEMBIC PHARMA LTD,18427.7925888,932.8,2025-08-29
ALEMBIC PHARMA LTD,18427.7925888,932.8,2025-09-25
BAJAJ AUTO LIMITED,255502.3720448,9118.0,2025-07-25
BAJAJ AUTO LIMITED,255502.3720448,9118.0,2025-09-24
HDFC LIFE INS CO LTD,160782.221312,743.7,2025-09-04
HDFC LIFE INS CO LTD,160782.221312,743.7,2025-09-29
APTUS VALUE HSG FIN I LTD,15777.6134144,315.15,2025-08-01
APTUS VALUE HSG FIN I LTD,15777.6134144,315.15,2025-08-29
APTUS VALUE HSG FIN I LTD,15777.6134144,315.15,2025-09-18
MAHARASHTRA SEAMLESS LTD,7824.8861696,583.95,2025-08-28
UNITED SPIRITS LIMITED,98970.6256384,1359.7,2025-09-01
UNITED SPIRITS LIMITED,98970.6256384,1359.7,2025-09-11
UNITED SPIRITS LIMITED,98970.6256384,1359.7,2025-10-15
POLYCAB INDIA LIMITED,114478.022656,7605.0,2025-08-01
POLYCAB INDIA LIMITED,114478.022656,7605.0,2025-08-07
COROMANDEL INTERNTL. LTD,64198.7444736,2179.0,2025-08-13
COROMANDEL INTERNTL. LTD,64198.7444736,2179.0,2025-09-26
